IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 3.050374348387405090e-03
2.442002442002442000e-04 2.282749675745784565e-02 1.128417668300214782e-01
4.884004884004884001e-04 3.419546807049668458e-02 2.225379005671520583e-01
7.326007326007326001e-04 4.272526131074998179e-02 3.421384210729056519e-01
9.768009768009768001e-04 4.882887006942854963e-02 4.585483841787220127e-01
1.221001221001221000e-03 5.493247882810711746e-02 5.618107633593401040e-01
1.465201465201465200e-03 6.103608758678568530e-02 6.963007659643348779e-01
1.709401709401709400e-03 6.408789196612496575e-02 7.756532347749764966e-01
1.953601953601953600e-03 7.019150072480354052e-02 9.339754194823484124e-01
2.197802197802197800e-03 7.324330510414282791e-02 1.013490142745989697e+00
2.442002442002442000e-03 7.629510948348211530e-02 1.117855055396813846e+00
2.686202686202686200e-03 8.018616006713970290e-02 1.209952878681192168e+00
2.930402930402930400e-03 8.360418097199968923e-02 1.319722107815225254e+00
3.174603174603174600e-03 8.647287708857862021e-02 1.429475409150396725e+00
3.418803418803418800e-03 8.868543526359960738e-02 1.539180302214811391e+00
3.663003663003663000e-03 9.155413138017852448e-02 1.663059536936543292e+00
3.907203907203907201e-03 9.460593575951781187e-02 1.765306694188072623e+00
4.151404151404151401e-03 9.765774013885709925e-02 1.900306287397127480e+00
4.395604395604395601e-03 1.007095445181963866e-01 2.041200421459753223e+00
4.639804639804639801e-03 1.037613488975356740e-01 2.182680721282868497e+00
4.884004884004884001e-03 1.049210345616845980e-01 2.197427379222499866e+00
5.128205128205128201e-03 1.068131532768749475e-01 2.318510564941404617e+00
5.372405372405372401e-03 1.098649576562142349e-01 2.471570784465530579e+00
5.616605616605616601e-03 1.129167620355535223e-01 2.626823836690644232e+00
5.860805860805860801e-03 1.136949721522850371e-01 2.636324525134001284e+00
6.105006105006105001e-03 1.159685664148928097e-01 2.787755925954980896e+00
6.349206349206349201e-03 1.190203707942320832e-01 2.959017270319656667e+00
6.593406593406593401e-03 1.195696955825131663e-01 2.965551982752168136e+00
6.837606837606837601e-03 1.220721751735713706e-01 3.143875055023416465e+00
7.081807081807081801e-03 1.251239795529106580e-01 3.324861653746019385e+00
7.326007326007326001e-03 1.251239795529106580e-01 3.324861653746019385e+00
7.570207570207570201e-03 1.281757839322499315e-01 3.500729696821991421e+00
7.814407814407814401e-03 1.312275883115892328e-01 3.697789539121503655e+00
8.058608058608057734e-03 1.312275883115892328e-01 3.697789539121503655e+00
8.302808302808302801e-03 1.342793926909285063e-01 3.888640564781025155e+00
8.547008547008547868e-03 1.342793926909285063e-01 3.888640564781025155e+00
8.791208791208791201e-03 1.373311970702678075e-01 4.118296252562592130e+00
